Stream	Year	Female.N	Female.H
Erb	2013	235	36
HoganBay	2013	137	289
Paddy	2013	52	6
Spring	2013	423	9
Stockdale	2013	465	104
Erb	2014	605	277
Gilmour	2014	151	182
HoganBay	2014	133	1376
Paddy	2014	217	401
Spring	2014	67	2
Stockdale	2014	283	592
Admiralty	2013	253	10
Fish	2013	116	237
Prospect	2013	214	88
Sawmill	2013	136	136
Admiralty	2014	181	7
Fish	2014	396	1084
Prospect	2014	269	25
Sawmill	2014	82	14
